"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1629","has title","firefox","Wed Jan 14 06:21:57 UTC 2026","passed","Wed Jan 14 06:21:59 UTC 2026","","example.spec.ts","",""
"","751","get started link","chromium","Wed Jan 14 06:21:56 UTC 2026","passed","Wed Jan 14 06:21:57 UTC 2026","","example.spec.ts","",""
"","591","has title","chromium","Wed Jan 14 06:21:54 UTC 2026","passed","Wed Jan 14 06:21:55 UTC 2026","","example.spec.ts","",""
"","959","get started link","firefox","Wed Jan 14 06:22:00 UTC 2026","passed","Wed Jan 14 06:22:00 UTC 2026","","example.spec.ts","",""
"","1342","get started link","webkit","Wed Jan 14 06:22:07 UTC 2026","passed","Wed Jan 14 06:22:08 UTC 2026","","example.spec.ts","",""
"","4199","has title","webkit","Wed Jan 14 06:22:02 UTC 2026","passed","Wed Jan 14 06:22:06 UTC 2026","","example.spec.ts","",""
