"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1394","has title","firefox","Thu Jan 15 07:30:14 UTC 2026","passed","Thu Jan 15 07:30:16 UTC 2026","","example.spec.ts","",""
"","637","has title","chromium","Thu Jan 15 07:30:10 UTC 2026","passed","Thu Jan 15 07:30:11 UTC 2026","","example.spec.ts","",""
"","1063","get started link","firefox","Thu Jan 15 07:30:16 UTC 2026","passed","Thu Jan 15 07:30:17 UTC 2026","","example.spec.ts","",""
"","6168","has title","webkit","Thu Jan 15 07:30:19 UTC 2026","passed","Thu Jan 15 07:30:25 UTC 2026","","example.spec.ts","",""
"","787","get started link","chromium","Thu Jan 15 07:30:13 UTC 2026","passed","Thu Jan 15 07:30:14 UTC 2026","","example.spec.ts","",""
"","1332","get started link","webkit","Thu Jan 15 07:30:25 UTC 2026","passed","Thu Jan 15 07:30:27 UTC 2026","","example.spec.ts","",""
