"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1859","get started link","webkit","Wed Jan 14 07:06:20 UTC 2026","passed","Wed Jan 14 07:06:22 UTC 2026","","example.spec.ts","",""
"","1295","has title","firefox","Wed Jan 14 07:06:11 UTC 2026","passed","Wed Jan 14 07:06:12 UTC 2026","","example.spec.ts","",""
"","747","get started link","chromium","Wed Jan 14 07:06:10 UTC 2026","passed","Wed Jan 14 07:06:11 UTC 2026","","example.spec.ts","",""
"","894","get started link","firefox","Wed Jan 14 07:06:13 UTC 2026","passed","Wed Jan 14 07:06:14 UTC 2026","","example.spec.ts","",""
"","607","has title","chromium","Wed Jan 14 07:06:08 UTC 2026","passed","Wed Jan 14 07:06:09 UTC 2026","","example.spec.ts","",""
"","4068","has title","webkit","Wed Jan 14 07:06:15 UTC 2026","passed","Wed Jan 14 07:06:19 UTC 2026","","example.spec.ts","",""
