"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1163","get started link","webkit","Thu Jan 15 06:29:22 UTC 2026","passed","Thu Jan 15 06:29:23 UTC 2026","","example.spec.ts","",""
"","4449","has title","webkit","Thu Jan 15 06:29:17 UTC 2026","passed","Thu Jan 15 06:29:21 UTC 2026","","example.spec.ts","",""
"","1320","has title","firefox","Thu Jan 15 06:29:13 UTC 2026","passed","Thu Jan 15 06:29:14 UTC 2026","","example.spec.ts","",""
"","876","get started link","firefox","Thu Jan 15 06:29:15 UTC 2026","passed","Thu Jan 15 06:29:16 UTC 2026","","example.spec.ts","",""
"","437","has title","chromium","Thu Jan 15 06:29:10 UTC 2026","passed","Thu Jan 15 06:29:11 UTC 2026","","example.spec.ts","",""
"","640","get started link","chromium","Thu Jan 15 06:29:12 UTC 2026","passed","Thu Jan 15 06:29:12 UTC 2026","","example.spec.ts","",""
