"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1354","has title","firefox","Wed Jan 14 06:40:49 UTC 2026","passed","Wed Jan 14 06:40:50 UTC 2026","","example.spec.ts","",""
"","594","has title","chromium","Wed Jan 14 06:40:46 UTC 2026","passed","Wed Jan 14 06:40:46 UTC 2026","","example.spec.ts","",""
"","5333","has title","webkit","Wed Jan 14 06:40:53 UTC 2026","passed","Wed Jan 14 06:40:58 UTC 2026","","example.spec.ts","",""
"","1282","get started link","webkit","Wed Jan 14 06:40:59 UTC 2026","passed","Wed Jan 14 06:41:00 UTC 2026","","example.spec.ts","",""
"","968","get started link","firefox","Wed Jan 14 06:40:51 UTC 2026","passed","Wed Jan 14 06:40:52 UTC 2026","","example.spec.ts","",""
"","775","get started link","chromium","Wed Jan 14 06:40:47 UTC 2026","passed","Wed Jan 14 06:40:48 UTC 2026","","example.spec.ts","",""
